ID_Zarizeni;Nazev_Mistnosti;Patro;Kategorie_Zapisu;Obsah_Zapisu;Datum_Zapisu
D 1.25;Údržba, mycí centrum;1.Patro;Popis kontroly;odpad podlaha, kontrola dřezu (odpad , kohouty ) , hadice na vodu , vzduchové hadice,sítky v oknech,odtah VZT, celistvost soklů a zdí;
D 1.24;kancelář skladník;1.Patro;Popis kontroly;síť v okně , topení, celistvost soklů a zdí;
D1.23;expedice;1.Patro;Popis kontroly;trubky topení (poškození,hmyzolapače,vrata 4 x,rozvaděč , hasící přístroje, celistvost soklů a zdí;
Výtah expedice;Výtah expedice;1.Patro;Popis kontroly;poškození kabiny ,spára před výtahem,poškození dveří;
D 1.21;WC řidiči;1.Patro;Popis kontroly;kontrola vlhoksti, umývadlo (opdad , kohoutek),WC , celistvost soklů a zdí;
D 1.22;WC expedice;1.Patro;Popis kontroly;kontrola vlhoksti, umývadlo (opdad , kohoutek),WC , celistvost soklů a zdí;
D 1.18;úklidovka expedice;1.Patro;Popis kontroly;Bojler,haidice u bojleru k napouštění mycího stroje,expanzní nádrž,výlevka, rozvod vodoinstalace, celistvost soklů a zdí;
D 1.17;odpadová místnost;1.Patro;Popis kontroly;úklid , mřížky ve zdi, celistvost soklů a zdí;
D1.13a;u Agáty;1.Patro;Popis kontroly;3x vzduchová hadice ,síť v okně , rolety,průchody stropem, celistvost soklů a zdí;
D1.13;U kartonovačky;1.Patro;Popis kontroly;9x vzduchové hadice,3x síť v okně,rolety ,topení ,elekt. Rozvody , VZT odtah ,přívod,průchod stropem 2x,Rozvodna el.,čidlo VZT, celistvost soklů a zdí;
D1.9;Uklidovka u kartonovačky;1.Patro;Popis kontroly;Bojler,expanzní nádrž,výlevka,umyvadlo,dávkovač 2x,dávkovač papíru kontrola funkce a dobití baterii, celistvost soklů a zdí;
D1.12;Kancelář Vedoucí výroby;1.Patro;Popis kontroly;2x síť v okně,2x rolety,čidlo VZT, celistvost soklů a zdí;
D1.02;Chodba u kotelny;1.Patro;Popis kontroly;2x vrata ,čidlo VZT , rozvody vody ,vzduchu (žlaby),hydrant,nabíječky,;
D1.06;Výtah Extrudovny;1.Patro;Popis kontroly;poškození kabiny, spára pod výtahem, poškození dveří;
D1.02;Sklad pod schody;1.Patro;Popis kontroly;vlhkost, pořádek, zamykání dveří, celistvost soklů a zdí;
D1.06;Sklad vzorků;1.Patro;Popis kontroly;zámek u dveří, VZT, čidla VZT, odpadní trubky, celistvost soklů a zdí;
D1.08;Prádelna;1.Patro;Popis kontroly;VZT - odtah kontrola funkčnnosti, dřez, odpady u praček, celistvost soklů a zdí;
C1.18;Denní místnost;1.Patro;Popis kontroly;VZT, síťka v okně, topení, odpad u dřezu, celistvost soklů a zdí;
C1.03;Chodba šatny směr A;1.Patro;Popis kontroly;VZT, hmyzolapač, hasičák, hydrant, skříňka návštěvy, celistvost soklů a zdí;
C1.05;Uklidová místnost;1.Patro;Popis kontroly;VZT, celistvost soklů a zdí;
